"Nome_distrito","Menos de 2 SM","De 2 a Menos de 5 SM","De 5 a Menos de 10 SM","De 10 a Menos de 15 SM","De 15 a Menos de 25 SM","De 25 SM e Mais "
"Agua Rasa","8.33","17.31","26.60","14.01","15.96","17.78"
"Alto de Pinheiros","3.47","5.44","12.22","9.30","15.85","53.72"
"Anhanguera","18.29","34.93","31.91","8.90","3.99","1.98"
"Aricanduva","11.64","24.95","28.47","13.72","13.33","7.88"
"Artur Alvim","12.03","23.22","31.51","15.87","12.60","4.77"
"Barra Funda","6.66","11.23","23.98","12.87","14.22","31.04"
"Bela Vista","4.81","12.59","23.28","15.33","17.46","26.53"
"Belem","7.77","17.08","24.51","14.79","16.11","19.74"
"Bom Retiro","10.20","20.04","24.70","14.70","15.57","14.79"
"Bras","10.27","19.34","31.06","15.23","11.64","12.46"
"Brasilandia","19.87","34.23","28.27","9.15","5.99","2.49"
"Butanta","4.93","10.60","16.23","12.10","18.25","37.88"
"Cachoeirinha","15.74","29.57","28.54","11.17","9.35","5.62"
"Cambuci","7.77","15.60","23.26","14.99","17.70","20.68"
"Campo Belo","4.92","9.48","13.81","9.90","13.45","48.44"
"Campo Grande","5.96","14.00","20.23","11.89","17.63","30.29"
"Campo Limpo","16.07","28.25","28.71","11.26","9.96","5.76"
"Cangaiba","12.05","27.17","30.24","12.56","11.56","6.42"
"Capao Redondo","18.30","32.80","29.82","9.36","6.50","3.22"
"Carrao","9.18","18.17","25.82","14.91","16.35","15.58"
"Casa Verde","8.51","19.05","28.32","13.74","14.49","15.90"
"Cidade Ademar","16.73","28.46","28.84","10.73","8.66","6.58"
"Cidade Dutra","15.30","27.10","29.26","12.03","9.64","6.67"
"Cidade Lider","14.03","26.70","30.78","13.63","9.14","5.72"
"Cidade Tiradentes","20.47","36.92","31.23","7.53","3.08","0.76"
"Consolacao","3.77","8.33","17.19","10.49","15.74","44.47"
"Cursino","8.17","16.65","24.17","13.86","15.21","21.93"
"Ermelino Matarazzo","15.73","31.16","28.99","11.12","9.04","3.97"
"Freguesia do O","11.20","21.92","28.19","13.88","14.04","10.78"
"Grajau","22.92","35.87","28.21","7.55","4.08","1.38"
"Guaianazes","19.76","35.70","29.17","8.62","5.19","1.56"
"Moema","2.91","3.43","9.95","8.55","13.78","61.38"
"Iguatemi","22.67","36.89","28.73","6.87","3.43","1.40"
"Ipiranga","9.68","20.11","23.56","13.37","14.64","18.64"
"Itaim Bibi","3.87","6.61","12.98","8.83","14.78","52.92"
"Itaim Paulista","22.99","37.29","26.86","7.20","4.13","1.54"
"Itaquera","17.50","29.22","29.28","11.11","8.62","4.28"
"Jabaquara","10.27","20.27","24.48","13.51","13.56","17.91"
"Jacana","12.37","25.74","28.58","12.99","12.29","8.02"
